"Year","Seas","Fleet","Partition","Type","Value","Std_in"
2002,1,1,1,2,1.56220082899039,0.0709489915420479
2003,1,1,1,2,1.38031462635026,0.0686293225473033
2004,1,1,1,2,1.52282734991779,0.0789892658986632
2005,1,1,1,2,1.90574216694581,0.0685035558167566
2006,1,1,1,2,1.80518354414569,0.0882746516267562
2007,1,1,1,2,1.92951300824891,0.101910332102758
2008,1,1,1,2,2.10265007670648,0.0683396856899838
2009,1,1,1,2,1.74642808140683,0.105574134677726
2010,1,1,1,2,1.17823844226483,0.0722083746824933
2011,1,1,1,2,1.3680418069793,0.0430430692331121
2012,1,1,1,2,1.31412924921929,0.0657340341292678
2013,1,1,1,2,1.4459974546147,0.0841978413948587
2014,1,1,1,2,1.522102316161,0.0875706899259319
2015,1,1,1,2,1.38255015078456,0.071398644812261
2016,1,1,1,2,1.4321758542052,0.0371470564543632
2017,1,1,1,2,1.55964971924779,0.0506462147213545
2018,1,1,1,2,1.55834649157413,0.0485107202173008
2019,1,1,1,2,1.60611905311575,0.0347261553805494
2020,1,1,1,2,1.66503504364888,0.0666534277141792
2021,1,1,1,2,1.65161365648078,0.0478905375825414
2002,1,2,1,2,0.937106473214114,0.0889727141392988
2003,1,2,1,2,1.07465038035073,0.047552021619263
2004,1,2,1,2,1.20949552130624,0.0429689232985006
2005,1,2,1,2,1.03366375229693,0.0736127462677394
2006,1,2,1,2,1.13411598614632,0.0490199121549485
2007,1,2,1,2,1.3241785152618,0.0593593611315937
2008,1,2,1,2,1.14606907613516,0.274084160107133
2009,1,2,1,2,0.526336464377974,0.3009139292124
2010,1,2,1,2,0.74023230495149,0.105253806523809
2011,1,2,1,2,0.521434433561628,0.516416524909089
2012,1,2,1,2,0.59634603353312,0.321747722033275
2013,1,2,1,2,0.486163829426254,0.242954444363385
2014,1,2,1,2,0.452739657107407,0.583150568568764
2015,1,2,1,2,0.560155290032289,0.285785289232083
2016,1,2,1,2,0.647093145624654,0.185463620352628
2017,1,2,1,2,0.470091187331948,0.474919373674154
2018,1,2,1,2,0.709888836067201,0.194661911730798
2019,1,2,1,2,0.786091522145216,0.1505926692679
2020,1,2,1,2,0.716247959719611,0.0975453084539113
2021,1,2,1,2,0.58678981532615,0.208850044171685
